filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_54-1.npz,0.079613686,-0.057145834,7,pca,max
AllFields_Resultats_MESH_193-2.npz,0.286664,-0.18134105,6,pca,max
AllFields_Resultats_MESH_163-2.npz,-0.92141247,0.3313675,0,pca,max
AllFields_Resultats_MESH_162.npz,0.04415703,-0.047361493,7,pca,max
AllFields_Resultats_MESH_170.npz,0.48466682,-0.4783877,10,pca,max
AllFields_Resultats_MESH_207.npz,-0.67998505,0.4704336,11,pca,max
AllFields_Resultats_MESH_214.npz,-0.5832367,0.112502694,2,pca,max
AllFields_Resultats_MESH_34.npz,0.39349174,0.45011127,14,pca,max
AllFields_Resultats_MESH_186-2.npz,0.14135456,0.3273964,14,pca,max
AllFields_Resultats_MESH_182-2.npz,0.57250214,0.49150908,4,pca,max
AllFields_Resultats_MESH_135.npz,0.08864975,-0.08893299,7,pca,max
AllFields_Resultats_MESH_163-1.npz,0.28214455,-0.44307125,10,pca,max
AllFields_Resultats_MESH_198-1.npz,0.1732359,-0.30577528,6,pca,max
AllFields_Resultats_MESH_205.npz,0.20804691,-0.17467487,6,pca,max
AllFields_Resultats_MESH_199.npz,0.1444397,0.07444811,7,pca,max
AllFields_Resultats_MESH_206.npz,-0.033621788,-0.31622326,13,pca,max
AllFields_Resultats_MESH_219.npz,-0.40941334,0.2309748,2,pca,max
AllFields_Resultats_MESH_25.npz,-0.2394762,-0.19581926,13,pca,max
AllFields_Resultats_MESH_164.npz,0.5498314,-0.104560494,1,pca,max
AllFields_Resultats_MESH_9-1.npz,0.13348675,-0.117118835,6,pca,max
AllFields_Resultats_MESH_212.npz,-0.081113815,-7.1525574e-06,7,pca,max
AllFields_Resultats_MESH_168-1.npz,0.11733246,-0.081127286,7,pca,max
AllFields_Resultats_MESH_192.npz,0.94432735,-0.23012793,1,pca,max
AllFields_Resultats_MESH_26.npz,-0.4665594,-0.004186988,2,pca,max
AllFields_Resultats_MESH_197.npz,0.50146675,0.28203893,14,pca,max
AllFields_Resultats_MESH_193-1.npz,0.22796822,0.3015833,14,pca,max
AllFields_Resultats_MESH_6.npz,0.20477581,-0.12518191,6,pca,max
AllFields_Resultats_MESH_191.npz,1.041748,-0.86383355,5,pca,max
AllFields_Resultats_MESH_19.npz,-0.83216476,0.270164,0,pca,max
AllFields_Resultats_MESH_28.npz,0.22668457,0.079933405,7,pca,max
AllFields_Resultats_MESH_139.npz,0.5411711,0.49786603,4,pca,max
AllFields_Resultats_MESH_213.npz,-0.040063858,0.45989656,12,pca,max
AllFields_Resultats_MESH_167.npz,0.71240807,0.45210433,4,pca,max
AllFields_Resultats_MESH_54-2.npz,0.93587875,0.2606262,4,pca,max
AllFields_Resultats_MESH_148.npz,-0.6696205,0.1084733,0,pca,max
