filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_157.npz,-19.90855841467134,-8.629889947290875,3,pca,mean
AllFields_Resultats_MESH_173.npz,-12.330149561716036,-3.481445094241182,7,pca,mean
AllFields_Resultats_MESH_172.npz,35.1118868139882,-23.76888484101669,8,pca,mean
AllFields_Resultats_MESH_182-3.npz,-11.737380130853994,1.5767469157708043,7,pca,mean
AllFields_Resultats_MESH_42-1.npz,14.142543229776734,3.9340501871682174,2,pca,mean
AllFields_Resultats_MESH_3.npz,43.899022843873,-11.150084277858022,14,pca,mean
AllFields_Resultats_MESH_207.npz,-21.439749307276436,-2.9517648294689782,3,pca,mean
AllFields_Resultats_MESH_194.npz,2.2241777945631296,11.20601616781472,10,pca,mean
AllFields_Resultats_MESH_200.npz,20.613525869899497,16.12304905507113,6,pca,mean
AllFields_Resultats_MESH_153.npz,12.34277865870134,0.47804638832746715,13,pca,mean
AllFields_Resultats_MESH_182-2.npz,-8.786308463519724,-8.72363140283692,5,pca,mean
AllFields_Resultats_MESH_136.npz,1.9103571195218274,6.818227505290271,10,pca,mean
AllFields_Resultats_MESH_211.npz,-20.97508302233376,-1.24049689176253,3,pca,mean
AllFields_Resultats_MESH_44.npz,-10.426094930037507,0.33887764192761655,7,pca,mean
AllFields_Resultats_MESH_175.npz,-19.978581489585622,-4.405463146776198,3,pca,mean
AllFields_Resultats_MESH_54-1.npz,-3.2345082484775305,1.0530109240789458,0,pca,mean
AllFields_Resultats_MESH_25.npz,-6.401717668830802,-3.215765956384431,5,pca,mean
AllFields_Resultats_MESH_203.npz,-5.738789609528006,2.1168102076758846,0,pca,mean
AllFields_Resultats_MESH_210.npz,14.16995233977953,-0.6422415227915801,13,pca,mean
AllFields_Resultats_MESH_198-2.npz,-19.569777262237483,-2.570687102360777,3,pca,mean
AllFields_Resultats_MESH_28.npz,-11.62425279393295,-3.2155833374364433,7,pca,mean
AllFields_Resultats_MESH_168-1.npz,-16.934680228635795,4.417929159012474,12,pca,mean
AllFields_Resultats_MESH_137.npz,6.411470975508137,15.119756992901715,4,pca,mean
AllFields_Resultats_MESH_166.npz,-5.290073138227251,6.716451951371201,0,pca,mean
AllFields_Resultats_MESH_152.npz,-9.722207800586236,-6.83462648838317,5,pca,mean
AllFields_Resultats_MESH_174.npz,-4.29123502616077,1.6957685978706638,0,pca,mean
AllFields_Resultats_MESH_129.npz,-14.87729025348649,-4.192848608781194,7,pca,mean
AllFields_Resultats_MESH_186-1.npz,5.114868955153059,4.083973983090437,10,pca,mean
AllFields_Resultats_MESH_155.npz,9.655118240051374,10.924005495866455,4,pca,mean
AllFields_Resultats_MESH_212.npz,4.253717416920272,-1.0388576937764442,11,pca,mean
AllFields_Resultats_MESH_164.npz,-8.40476505926362,7.186383542077004,12,pca,mean
AllFields_Resultats_MESH_139.npz,-11.79660970382043,-3.998898022188081,7,pca,mean
AllFields_Resultats_MESH_119-1.npz,-19.417643305581763,0.632325406912155,3,pca,mean
AllFields_Resultats_MESH_170.npz,-8.485279493826749,5.626245908494639,12,pca,mean
AllFields_Resultats_MESH_2.npz,6.488397248048528,-1.518135808630823,11,pca,mean
AllFields_Resultats_MESH_177.npz,9.797823711806846,6.024412086040179,2,pca,mean
AllFields_Resultats_MESH_214.npz,-0.36685544272643655,0.7945217901518842,0,pca,mean
AllFields_Resultats_MESH_189.npz,-11.974399003945676,7.208302849524293,12,pca,mean
AllFields_Resultats_MESH_34.npz,7.665599267704254,0.35551426903648664,11,pca,mean
AllFields_Resultats_MESH_192.npz,-3.6988829978978117,2.2249417874528934,0,pca,mean
AllFields_Resultats_MESH_215.npz,-17.785183067047743,1.4464636928046193,3,pca,mean
AllFields_Resultats_MESH_183.npz,-11.442398444301718,-3.612446140367008,7,pca,mean
AllFields_Resultats_MESH_148.npz,-7.137691352828455,-7.691702643497531,5,pca,mean
AllFields_Resultats_MESH_165.npz,29.53190066807263,13.186842177894226,6,pca,mean
AllFields_Resultats_MESH_198-1.npz,3.350677248670272,8.61935447212891,10,pca,mean
AllFields_Resultats_MESH_6.npz,-2.1660495242165516,-9.82140180672488,5,pca,mean
AllFields_Resultats_MESH_40.npz,4.424084603310379,3.0164952056628254,11,pca,mean
AllFields_Resultats_MESH_163-1.npz,-7.464981439698428,1.15969026773156,0,pca,mean
AllFields_Resultats_MESH_180.npz,-21.11617967946278,-5.34748258079081,3,pca,mean
AllFields_Resultats_MESH_119-2.npz,-20.895683378947957,-6.558858877906278,3,pca,mean
AllFields_Resultats_MESH_26.npz,6.694018423387911,-3.098949938235953,11,pca,mean
AllFields_Resultats_MESH_213.npz,9.337377233862583,3.2436801048016592,2,pca,mean
AllFields_Resultats_MESH_158.npz,-5.85693263534398,7.650673879846037,0,pca,mean
AllFields_Resultats_MESH_196-2.npz,-3.4231183018609928,-4.226321356182185,5,pca,mean
AllFields_Resultats_MESH_209.npz,1.7893931838546868,-0.14973790750297444,11,pca,mean
AllFields_Resultats_MESH_217.npz,-1.3900827799474715,15.230607359296574,4,pca,mean
AllFields_Resultats_MESH_191.npz,36.820107730912504,6.474893551169901,6,pca,mean
AllFields_Resultats_MESH_121.npz,-6.724319073092296,-5.130421995102312,5,pca,mean
AllFields_Resultats_MESH_206.npz,-7.89050247439124,2.6959275338942237,0,pca,mean
AllFields_Resultats_MESH_204.npz,31.456998056789498,-2.757371073131797,1,pca,mean
AllFields_Resultats_MESH_159.npz,-9.97462618012651,-0.7028316838261487,7,pca,mean
AllFields_Resultats_MESH_117.npz,36.7196002774298,-12.713186109086637,14,pca,mean
AllFields_Resultats_MESH_42-2.npz,27.654699271302743,-2.8053119082047053,1,pca,mean
AllFields_Resultats_MESH_9-1.npz,4.859400291759429,9.056709104039609,10,pca,mean
AllFields_Resultats_MESH_219.npz,-8.581704886427914,-4.9766907930250035,5,pca,mean
AllFields_Resultats_MESH_162.npz,0.08141812444243361,5.1344258349112115,10,pca,mean
AllFields_Resultats_MESH_140.npz,20.293939600105755,11.731608798367029,6,pca,mean
AllFields_Resultats_MESH_178.npz,-13.285122857271976,7.778676003761363,12,pca,mean
AllFields_Resultats_MESH_196-1.npz,-19.622862236029636,-4.846685989910573,3,pca,mean
AllFields_Resultats_MESH_42-3.npz,13.75731286939694,5.409723665408622,2,pca,mean
AllFields_Resultats_MESH_197.npz,-20.203656227873445,-5.255657437360163,3,pca,mean
AllFields_Resultats_MESH_171.npz,-2.402957514069892,3.246654792343057,0,pca,mean
AllFields_Resultats_MESH_144-2.npz,-2.741614081303994,11.649896569849934,10,pca,mean
AllFields_Resultats_MESH_134.npz,-12.745119019096286,-0.36551081185584017,7,pca,mean
AllFields_Resultats_MESH_181.npz,-5.284508872396292,2.1288971648060566,0,pca,mean
AllFields_Resultats_MESH_199.npz,1.7453417590395637,11.455410285015981,10,pca,mean
AllFields_Resultats_MESH_161.npz,-6.828990649511154,2.6746542082659026,0,pca,mean
AllFields_Resultats_MESH_185.npz,-17.29752739019888,-3.5872454227338992,3,pca,mean
AllFields_Resultats_MESH_186-2.npz,-20.023479933625577,-7.66731225707612,3,pca,mean
AllFields_Resultats_MESH_128.npz,31.614288108490562,-19.598602188642236,8,pca,mean
AllFields_Resultats_MESH_187.npz,3.2612651595775173,-10.316436302198287,11,pca,mean
AllFields_Resultats_MESH_138.npz,7.6508362036414725,-1.1550428313180277,11,pca,mean
AllFields_Resultats_MESH_54-2.npz,10.951680497421718,3.9961965889942905,2,pca,mean
AllFields_Resultats_MESH_193-2.npz,3.012565604203569,5.221683021415656,10,pca,mean
AllFields_Resultats_MESH_182-1.npz,-19.748723751111466,-4.0028964966422755,3,pca,mean
AllFields_Resultats_MESH_195.npz,-22.784430002158757,-3.3839104133151805,3,pca,mean
AllFields_Resultats_MESH_1.npz,-1.5531357859926207,-3.018093752662253,11,pca,mean
AllFields_Resultats_MESH_193-1.npz,22.98166671702664,-3.020705865086493,1,pca,mean
AllFields_Resultats_MESH_31.npz,12.068520289279958,-4.157101773466805,13,pca,mean
AllFields_Resultats_MESH_163-2.npz,-6.835276100547333,-5.592009277359391,5,pca,mean
AllFields_Resultats_MESH_11.npz,55.24768718693426,-10.441382288882021,9,pca,mean
AllFields_Resultats_MESH_202.npz,-5.465422140486649,2.1763885263933926,0,pca,mean
AllFields_Resultats_MESH_55.npz,11.60976417804612,-2.2388699745716685,13,pca,mean
AllFields_Resultats_MESH_205.npz,-14.75771686983196,-0.17020645281586813,7,pca,mean
AllFields_Resultats_MESH_19.npz,-12.17938597304786,-9.459009459019818,5,pca,mean
AllFields_Resultats_MESH_188.npz,-12.758431425534903,0.004521449716090941,7,pca,mean
AllFields_Resultats_MESH_142.npz,-10.025128086861667,-1.4651840696586667,7,pca,mean
AllFields_Resultats_MESH_135.npz,-8.539188041942857,-3.604360222289989,5,pca,mean
AllFields_Resultats_MESH_208.npz,20.023637594155183,4.010608364430725,2,pca,mean
AllFields_Resultats_MESH_168-2.npz,-6.520770375888764,-9.357340314893445,5,pca,mean
AllFields_Resultats_MESH_120.npz,30.741964293277846,-7.391705633025652,1,pca,mean
AllFields_Resultats_MESH_23.npz,-4.689930817080071,0.8681950002556191,0,pca,mean
AllFields_Resultats_MESH_167.npz,-0.39154669767086747,5.359416456043452,10,pca,mean
AllFields_Resultats_MESH_160.npz,4.841272531293565,-0.020840559796583228,11,pca,mean
AllFields_Resultats_MESH_151.npz,29.62259223340588,10.00446668797372,6,pca,mean
