filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_54-1.npz,-0.20699596,-0.5909718,2,pca,min
AllFields_Resultats_MESH_193-2.npz,-0.42876244,-0.49698266,2,pca,min
AllFields_Resultats_MESH_163-2.npz,-0.042229652,-0.5559213,12,pca,min
AllFields_Resultats_MESH_162.npz,-0.36030674,-0.58924097,2,pca,min
AllFields_Resultats_MESH_170.npz,0.41299486,-0.018046886,4,pca,min
AllFields_Resultats_MESH_207.npz,-0.18730211,0.2970292,8,pca,min
AllFields_Resultats_MESH_214.npz,-0.46492052,-0.32478553,7,pca,min
AllFields_Resultats_MESH_34.npz,-0.44708252,-0.56190866,2,pca,min
AllFields_Resultats_MESH_186-2.npz,-0.13922119,0.52582693,6,pca,min
AllFields_Resultats_MESH_182-2.npz,0.23525429,0.49924362,14,pca,min
AllFields_Resultats_MESH_135.npz,-0.37669134,-0.27634427,7,pca,min
AllFields_Resultats_MESH_163-1.npz,-0.24330235,0.24308217,8,pca,min
AllFields_Resultats_MESH_198-1.npz,-0.49291706,-0.24708614,7,pca,min
AllFields_Resultats_MESH_205.npz,-0.15555,0.5272156,6,pca,min
AllFields_Resultats_MESH_199.npz,-0.1653676,0.34400308,8,pca,min
AllFields_Resultats_MESH_206.npz,-0.3940158,0.089384854,8,pca,min
AllFields_Resultats_MESH_219.npz,-0.2525134,-0.2101194,7,pca,min
AllFields_Resultats_MESH_25.npz,0.4897442,-0.22303954,10,pca,min
AllFields_Resultats_MESH_164.npz,-0.43048096,0.09661579,8,pca,min
AllFields_Resultats_MESH_9-1.npz,-0.08131218,0.37263608,3,pca,min
AllFields_Resultats_MESH_212.npz,-0.020598888,0.5216665,14,pca,min
AllFields_Resultats_MESH_168-1.npz,-0.13443184,-0.12874743,11,pca,min
AllFields_Resultats_MESH_192.npz,-0.70813036,0.4935974,13,pca,min
AllFields_Resultats_MESH_26.npz,-0.19049358,0.017899334,0,pca,min
AllFields_Resultats_MESH_197.npz,0.25328732,0.09914464,4,pca,min
AllFields_Resultats_MESH_193-1.npz,-0.28469372,-0.057248354,0,pca,min
AllFields_Resultats_MESH_6.npz,-0.2796669,-0.22105867,7,pca,min
AllFields_Resultats_MESH_191.npz,0.3209839,0.20226496,4,pca,min
AllFields_Resultats_MESH_19.npz,-0.04706192,-0.09264386,11,pca,min
AllFields_Resultats_MESH_28.npz,-0.11968565,-0.48092797,12,pca,min
AllFields_Resultats_MESH_139.npz,-0.15647602,-0.21658501,11,pca,min
AllFields_Resultats_MESH_213.npz,-0.242486,-0.06553015,0,pca,min
AllFields_Resultats_MESH_167.npz,-0.24475813,-0.2821673,7,pca,min
AllFields_Resultats_MESH_54-2.npz,0.0014042854,-0.40876412,12,pca,min
AllFields_Resultats_MESH_148.npz,0.24045277,-0.17382905,5,pca,min
AllFields_Resultats_MESH_210.npz,-0.15884686,-0.15555018,11,pca,min
AllFields_Resultats_MESH_158.npz,0.49151278,0.28994524,4,pca,min
AllFields_Resultats_MESH_174.npz,-0.20950365,0.25613183,8,pca,min
AllFields_Resultats_MESH_196-1.npz,0.3730936,0.1443572,4,pca,min
AllFields_Resultats_MESH_144-2.npz,-0.15743971,0.07706648,0,pca,min
AllFields_Resultats_MESH_119-1.npz,-0.16999865,0.61402166,6,pca,min
AllFields_Resultats_MESH_203.npz,-0.3634386,-0.28347218,7,pca,min
AllFields_Resultats_MESH_209.npz,0.35258007,-0.22311729,10,pca,min
AllFields_Resultats_MESH_2.npz,-0.30363846,-0.8909695,2,pca,min
AllFields_Resultats_MESH_198-2.npz,3.544499,-0.0739755,1,pca,min
AllFields_Resultats_MESH_23.npz,-0.14550638,-0.47683007,12,pca,min
AllFields_Resultats_MESH_137.npz,0.28888416,-0.39812297,10,pca,min
AllFields_Resultats_MESH_11.npz,0.34199905,-0.061703384,4,pca,min
AllFields_Resultats_MESH_40.npz,-0.04762125,-0.13101166,11,pca,min
AllFields_Resultats_MESH_189.npz,-0.17215586,0.8538922,6,pca,min
AllFields_Resultats_MESH_177.npz,0.1946702,-0.26878947,5,pca,min
AllFields_Resultats_MESH_166.npz,-0.12282133,-0.062163204,11,pca,min
AllFields_Resultats_MESH_157.npz,-0.043474674,-0.30562207,12,pca,min
AllFields_Resultats_MESH_151.npz,-0.18963909,-0.39737347,12,pca,min
AllFields_Resultats_MESH_188.npz,0.2111392,-0.11055997,5,pca,min
AllFields_Resultats_MESH_200.npz,0.066048145,-0.276205,5,pca,min
AllFields_Resultats_MESH_165.npz,0.15368748,0.21917135,3,pca,min
AllFields_Resultats_MESH_175.npz,-0.28421926,0.5026237,6,pca,min
AllFields_Resultats_MESH_152.npz,-0.13367748,-0.26337543,11,pca,min
