filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_54-1.npz,0.034510136,-0.0048685074,11,pca,std
AllFields_Resultats_MESH_193-2.npz,0.026165485,-0.013154745,11,pca,std
AllFields_Resultats_MESH_163-2.npz,-0.041696787,-0.09736872,5,pca,std
AllFields_Resultats_MESH_162.npz,0.02658248,-0.057435036,3,pca,std
AllFields_Resultats_MESH_170.npz,-0.09859371,0.09495735,4,pca,std
AllFields_Resultats_MESH_207.npz,0.07863951,-0.06778073,7,pca,std
AllFields_Resultats_MESH_214.npz,0.0049319267,-0.08165574,3,pca,std
AllFields_Resultats_MESH_34.npz,-0.009939194,0.008155823,9,pca,std
AllFields_Resultats_MESH_186-2.npz,0.1715715,0.0443604,6,pca,std
AllFields_Resultats_MESH_182-2.npz,-0.021462917,-0.08052063,3,pca,std
AllFields_Resultats_MESH_135.npz,0.06617236,-0.0064184666,11,pca,std
AllFields_Resultats_MESH_163-1.npz,0.09795451,0.08487868,14,pca,std
AllFields_Resultats_MESH_198-1.npz,0.08443022,0.008022785,11,pca,std
AllFields_Resultats_MESH_205.npz,0.096975565,0.034009457,14,pca,std
AllFields_Resultats_MESH_199.npz,0.11359954,0.05677724,14,pca,std
AllFields_Resultats_MESH_206.npz,0.20867968,0.13299489,6,pca,std
AllFields_Resultats_MESH_219.npz,0.10707092,-0.08984399,7,pca,std
AllFields_Resultats_MESH_25.npz,-0.20598316,0.0053014755,1,pca,std
AllFields_Resultats_MESH_164.npz,0.14841175,0.07416296,6,pca,std
AllFields_Resultats_MESH_9-1.npz,0.023688316,0.015785933,9,pca,std
AllFields_Resultats_MESH_212.npz,-0.029457808,-0.023296118,0,pca,std
AllFields_Resultats_MESH_168-1.npz,0.166296,0.07357621,6,pca,std
AllFields_Resultats_MESH_192.npz,0.11302519,0.0476892,14,pca,std
AllFields_Resultats_MESH_26.npz,-0.07219958,-0.14757776,5,pca,std
AllFields_Resultats_MESH_197.npz,0.24313927,-0.006999254,2,pca,std
AllFields_Resultats_MESH_193-1.npz,0.036741734,0.11206436,10,pca,std
AllFields_Resultats_MESH_6.npz,0.04039979,-0.025314093,11,pca,std
AllFields_Resultats_MESH_191.npz,-0.13048983,0.08578253,4,pca,std
AllFields_Resultats_MESH_19.npz,0.045670748,-0.047706127,11,pca,std
AllFields_Resultats_MESH_28.npz,0.062418938,-0.0062713623,11,pca,std
AllFields_Resultats_MESH_139.npz,-0.071569204,0.029227972,0,pca,std
AllFields_Resultats_MESH_213.npz,-0.122993946,-0.048636913,13,pca,std
AllFields_Resultats_MESH_167.npz,-0.14462638,0.056653738,4,pca,std
AllFields_Resultats_MESH_54-2.npz,0.012199163,0.030177355,9,pca,std
AllFields_Resultats_MESH_148.npz,0.021093845,-0.08630562,3,pca,std
AllFields_Resultats_MESH_210.npz,0.06459546,0.04999709,14,pca,std
AllFields_Resultats_MESH_158.npz,-0.16275072,0.15266609,4,pca,std
AllFields_Resultats_MESH_174.npz,-0.14871788,-0.041519165,13,pca,std
AllFields_Resultats_MESH_196-1.npz,-0.07080889,-0.12065458,5,pca,std
AllFields_Resultats_MESH_144-2.npz,-0.038547277,-0.013284922,0,pca,std
AllFields_Resultats_MESH_119-1.npz,0.182518,0.069125175,6,pca,std
AllFields_Resultats_MESH_203.npz,0.062243223,-0.037747145,11,pca,std
AllFields_Resultats_MESH_209.npz,-0.04989505,0.04941225,9,pca,std
AllFields_Resultats_MESH_2.npz,-0.044116974,-0.12340593,5,pca,std
AllFields_Resultats_MESH_198-2.npz,-0.29568672,0.0800426,8,pca,std
AllFields_Resultats_MESH_23.npz,0.16308928,-0.05361867,2,pca,std
AllFields_Resultats_MESH_137.npz,-0.09984732,0.12427902,4,pca,std
AllFields_Resultats_MESH_11.npz,-0.13276625,0.099276066,4,pca,std
AllFields_Resultats_MESH_40.npz,-0.049433947,-0.06430268,0,pca,std
AllFields_Resultats_MESH_189.npz,0.035226107,0.15276146,10,pca,std
AllFields_Resultats_MESH_177.npz,-0.09216499,-0.049118042,0,pca,std
AllFields_Resultats_MESH_166.npz,-0.019311428,-0.07024193,3,pca,std
AllFields_Resultats_MESH_157.npz,0.15705228,-0.07101703,7,pca,std
AllFields_Resultats_MESH_151.npz,-0.06633854,0.016138315,0,pca,std
AllFields_Resultats_MESH_188.npz,0.036145926,-0.034716368,11,pca,std
AllFields_Resultats_MESH_200.npz,-0.047843933,-0.055279255,0,pca,std
AllFields_Resultats_MESH_165.npz,-0.10197568,0.045037985,4,pca,std
AllFields_Resultats_MESH_175.npz,0.16656923,0.005987644,2,pca,std
AllFields_Resultats_MESH_152.npz,0.059349775,-0.0071926117,11,pca,std
AllFields_Resultats_MESH_202.npz,0.18241143,0.059775114,6,pca,std
AllFields_Resultats_MESH_185.npz,0.15153408,-0.09326744,7,pca,std
AllFields_Resultats_MESH_208.npz,-0.0456872,-0.095258236,5,pca,std
AllFields_Resultats_MESH_55.npz,-0.048820734,-0.027805328,0,pca,std
AllFields_Resultats_MESH_3.npz,-0.09267688,0.13754296,4,pca,std
AllFields_Resultats_MESH_155.npz,-0.1666069,0.10827255,4,pca,std
AllFields_Resultats_MESH_161.npz,-0.01011467,-0.119615555,5,pca,std
AllFields_Resultats_MESH_217.npz,-0.12321854,0.14757228,4,pca,std
AllFields_Resultats_MESH_187.npz,-0.022176266,-0.03305292,0,pca,std
AllFields_Resultats_MESH_194.npz,0.014067411,0.07864833,9,pca,std
AllFields_Resultats_MESH_204.npz,-0.37341785,0.09748483,8,pca,std
AllFields_Resultats_MESH_136.npz,-0.018079996,0.022153378,9,pca,std
AllFields_Resultats_MESH_134.npz,0.013016462,0.0047807693,9,pca,std
AllFields_Resultats_MESH_181.npz,0.13664508,0.0030174255,2,pca,std
AllFields_Resultats_MESH_44.npz,0.018044233,-0.07410216,3,pca,std
AllFields_Resultats_MESH_117.npz,-0.2158122,-0.14231467,12,pca,std
AllFields_Resultats_MESH_182-3.npz,0.15048742,0.08490896,6,pca,std
AllFields_Resultats_MESH_186-1.npz,-0.20240402,-0.047253847,13,pca,std
AllFields_Resultats_MESH_171.npz,-0.1522274,-0.03177452,13,pca,std
AllFields_Resultats_MESH_31.npz,0.085710526,0.08357501,14,pca,std
AllFields_Resultats_MESH_128.npz,-0.18994689,-0.06368542,13,pca,std
AllFields_Resultats_MESH_195.npz,0.12072325,0.059995174,14,pca,std
AllFields_Resultats_MESH_215.npz,0.041723013,0.004924774,11,pca,std
AllFields_Resultats_MESH_138.npz,0.1130383,-0.049466133,7,pca,std
AllFields_Resultats_MESH_142.npz,-0.06427574,-0.12156916,5,pca,std
AllFields_Resultats_MESH_160.npz,0.058781385,-0.052176476,11,pca,std
AllFields_Resultats_MESH_182-1.npz,-0.011806011,0.023070812,9,pca,std
AllFields_Resultats_MESH_119-2.npz,0.11000991,-0.08631706,7,pca,std
AllFields_Resultats_MESH_211.npz,0.10037756,-0.042716026,7,pca,std
AllFields_Resultats_MESH_140.npz,-0.219733,0.051235437,1,pca,std
AllFields_Resultats_MESH_168-2.npz,0.08594227,-0.1340456,7,pca,std
AllFields_Resultats_MESH_183.npz,-0.15942335,-0.06443,13,pca,std
AllFields_Resultats_MESH_42-1.npz,-0.1285584,-0.09650874,13,pca,std
AllFields_Resultats_MESH_129.npz,0.10960555,0.027873278,14,pca,std
AllFields_Resultats_MESH_42-3.npz,-0.052485228,-0.0070381165,0,pca,std
AllFields_Resultats_MESH_178.npz,0.09873843,0.16499972,10,pca,std
AllFields_Resultats_MESH_173.npz,0.00043320656,0.07115364,9,pca,std
AllFields_Resultats_MESH_121.npz,0.12962031,-0.11108756,7,pca,std
AllFields_Resultats_MESH_42-2.npz,-0.06909919,0.009017706,0,pca,std
AllFields_Resultats_MESH_172.npz,-0.18880153,0.049300432,1,pca,std
AllFields_Resultats_MESH_196-2.npz,0.00034451485,-0.15037513,5,pca,std
AllFields_Resultats_MESH_153.npz,0.00045585632,0.028006554,9,pca,std
