filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_54-1.npz,-0.49924248,1.4213232,7,tsne,max
AllFields_Resultats_MESH_193-2.npz,0.63728654,1.3173313,7,tsne,max
AllFields_Resultats_MESH_163-2.npz,-8.2522745,3.1294916,0,tsne,max
AllFields_Resultats_MESH_162.npz,-0.39572644,1.3449225,7,tsne,max
AllFields_Resultats_MESH_170.npz,2.9971511,0.08665355,13,tsne,max
AllFields_Resultats_MESH_207.npz,-7.0377975,2.890828,0,tsne,max
AllFields_Resultats_MESH_214.npz,-6.0799522,2.1767373,8,tsne,max
AllFields_Resultats_MESH_34.npz,-0.27321497,6.9806275,5,tsne,max
AllFields_Resultats_MESH_186-2.npz,-0.47266078,5.320907,1,tsne,max
AllFields_Resultats_MESH_182-2.npz,3.6430044,4.5352616,4,tsne,max
AllFields_Resultats_MESH_135.npz,-1.4356874,2.008937,7,tsne,max
AllFields_Resultats_MESH_163-1.npz,2.3068712,0.017716708,2,tsne,max
AllFields_Resultats_MESH_198-1.npz,0.011711447,-1.977104,12,tsne,max
AllFields_Resultats_MESH_205.npz,1.7053281,0.8714532,2,tsne,max
AllFields_Resultats_MESH_199.npz,-1.2958618,4.9020104,1,tsne,max
AllFields_Resultats_MESH_206.npz,-1.0609417,-1.1899221,12,tsne,max
AllFields_Resultats_MESH_219.npz,-5.324325,3.1097019,8,tsne,max
AllFields_Resultats_MESH_25.npz,-2.9629846,1.1617577,3,tsne,max
AllFields_Resultats_MESH_164.npz,3.7619636,2.1032846,10,tsne,max
AllFields_Resultats_MESH_9-1.npz,-0.28479686,2.325502,7,tsne,max
AllFields_Resultats_MESH_212.npz,-1.8248452,1.8326274,7,tsne,max
AllFields_Resultats_MESH_168-1.npz,-0.6629377,2.2073083,7,tsne,max
AllFields_Resultats_MESH_192.npz,4.2095356,1.3088095,10,tsne,max
AllFields_Resultats_MESH_26.npz,-4.658172,0.8788659,8,tsne,max
AllFields_Resultats_MESH_197.npz,0.96267533,5.37445,14,tsne,max
AllFields_Resultats_MESH_193-1.npz,-0.8295569,6.548315,5,tsne,max
AllFields_Resultats_MESH_6.npz,-0.13707498,3.159518,7,tsne,max
AllFields_Resultats_MESH_191.npz,4.487875,-0.13642341,13,tsne,max
AllFields_Resultats_MESH_19.npz,-7.360955,1.8693259,0,tsne,max
AllFields_Resultats_MESH_28.npz,-0.43268204,3.861269,1,tsne,max
AllFields_Resultats_MESH_139.npz,2.9048045,4.6706214,4,tsne,max
AllFields_Resultats_MESH_213.npz,-4.1889997,5.3118935,9,tsne,max
AllFields_Resultats_MESH_167.npz,3.509039,4.902657,4,tsne,max
AllFields_Resultats_MESH_54-2.npz,1.014681,7.4024734,14,tsne,max
AllFields_Resultats_MESH_148.npz,-6.853287,1.5254394,0,tsne,max
AllFields_Resultats_MESH_210.npz,1.4940399,2.8366964,11,tsne,max
AllFields_Resultats_MESH_158.npz,0.1928278,0.35445777,2,tsne,max
AllFields_Resultats_MESH_174.npz,-2.8794038,7.2540855,5,tsne,max
AllFields_Resultats_MESH_196-1.npz,-8.113805,2.1467016,0,tsne,max
AllFields_Resultats_MESH_144-2.npz,-7.1539974,1.1522183,0,tsne,max
AllFields_Resultats_MESH_119-1.npz,-8.235451,2.990281,0,tsne,max
AllFields_Resultats_MESH_203.npz,-1.2129377,3.4808872,1,tsne,max
AllFields_Resultats_MESH_209.npz,-1.4770343,-0.19979815,3,tsne,max
AllFields_Resultats_MESH_2.npz,2.100973,3.4620042,11,tsne,max
AllFields_Resultats_MESH_198-2.npz,-5.398657,-0.45507988,6,tsne,max
AllFields_Resultats_MESH_23.npz,-0.81376314,2.9645314,7,tsne,max
AllFields_Resultats_MESH_137.npz,1.4865199,6.8409386,14,tsne,max
AllFields_Resultats_MESH_11.npz,-3.942593,-2.55772,6,tsne,max
AllFields_Resultats_MESH_40.npz,-1.2491155,1.8310935,7,tsne,max
AllFields_Resultats_MESH_189.npz,4.368402,2.0257163,10,tsne,max
AllFields_Resultats_MESH_177.npz,-2.499683,-1.222923,3,tsne,max
AllFields_Resultats_MESH_166.npz,-5.5277877,1.3878058,8,tsne,max
AllFields_Resultats_MESH_157.npz,-5.469785,-1.6785436,6,tsne,max
AllFields_Resultats_MESH_151.npz,0.57997125,2.429709,7,tsne,max
AllFields_Resultats_MESH_188.npz,-5.361337,-1.4005048,6,tsne,max
AllFields_Resultats_MESH_200.npz,-0.56111366,6.7948794,5,tsne,max
AllFields_Resultats_MESH_165.npz,-2.5216699,-0.35037434,3,tsne,max
AllFields_Resultats_MESH_175.npz,-7.6406145,0.23945527,0,tsne,max
AllFields_Resultats_MESH_152.npz,-8.368654,-0.6435456,0,tsne,max
AllFields_Resultats_MESH_202.npz,-3.5825953,2.3865566,8,tsne,max
AllFields_Resultats_MESH_185.npz,-7.183164,3.2929811,0,tsne,max
AllFields_Resultats_MESH_208.npz,-1.3034898,5.938202,5,tsne,max
AllFields_Resultats_MESH_55.npz,-1.2829301,4.333592,1,tsne,max
AllFields_Resultats_MESH_3.npz,-0.5769908,-2.2268581,12,tsne,max
AllFields_Resultats_MESH_155.npz,0.4669004,4.773983,11,tsne,max
AllFields_Resultats_MESH_161.npz,-5.9219522,0.2665362,6,tsne,max
AllFields_Resultats_MESH_217.npz,3.0740778,6.155281,4,tsne,max
AllFields_Resultats_MESH_187.npz,-2.4221385,3.9294274,9,tsne,max
AllFields_Resultats_MESH_194.npz,2.5186455,1.80228,10,tsne,max
AllFields_Resultats_MESH_204.npz,0.44647,6.1291113,14,tsne,max
AllFields_Resultats_MESH_136.npz,-0.25151378,0.51891065,7,tsne,max
