filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_54-1.npz,-4.2272716,0.6161263,5,tsne,mean
AllFields_Resultats_MESH_193-2.npz,-0.09357359,-3.8520513,0,tsne,mean
AllFields_Resultats_MESH_163-2.npz,-0.7693293,0.48845062,4,tsne,mean
AllFields_Resultats_MESH_162.npz,-1.2372677,1.5001478,4,tsne,mean
AllFields_Resultats_MESH_170.npz,-4.1836104,-1.9670087,11,tsne,mean
AllFields_Resultats_MESH_207.npz,0.13557044,2.650541,7,tsne,mean
AllFields_Resultats_MESH_214.npz,-3.115317,2.4764576,1,tsne,mean
AllFields_Resultats_MESH_34.npz,-3.9195216,2.7316356,13,tsne,mean
AllFields_Resultats_MESH_186-2.npz,0.36078152,1.2762575,7,tsne,mean
AllFields_Resultats_MESH_182-2.npz,-2.9114904,-0.49353778,11,tsne,mean
AllFields_Resultats_MESH_135.npz,-2.0530214,1.8495923,1,tsne,mean
AllFields_Resultats_MESH_163-1.npz,1.0505115,-6.2139106,14,tsne,mean
AllFields_Resultats_MESH_198-1.npz,-0.85443574,-1.6755911,0,tsne,mean
AllFields_Resultats_MESH_205.npz,0.22657014,-5.6566596,14,tsne,mean
AllFields_Resultats_MESH_199.npz,-1.9024315,-2.647362,0,tsne,mean
AllFields_Resultats_MESH_206.npz,-2.3238604,-1.4602846,11,tsne,mean
AllFields_Resultats_MESH_219.npz,-4.4710817,4.3333488,6,tsne,mean
AllFields_Resultats_MESH_25.npz,-2.5842762,4.3672028,1,tsne,mean
AllFields_Resultats_MESH_164.npz,-0.10257758,-5.19225,8,tsne,mean
AllFields_Resultats_MESH_9-1.npz,-1.3076506,-3.427614,0,tsne,mean
AllFields_Resultats_MESH_212.npz,-1.1542307,-4.7304444,8,tsne,mean
AllFields_Resultats_MESH_168-1.npz,-0.5136562,0.114667885,4,tsne,mean
AllFields_Resultats_MESH_192.npz,1.6170421,-6.8870444,2,tsne,mean
AllFields_Resultats_MESH_26.npz,-5.7335615,1.9564774,13,tsne,mean
AllFields_Resultats_MESH_197.npz,-5.9539657,4.893275,6,tsne,mean
AllFields_Resultats_MESH_193-1.npz,-3.4006963,-5.157447,12,tsne,mean
AllFields_Resultats_MESH_6.npz,-7.1181483,2.172803,13,tsne,mean
AllFields_Resultats_MESH_191.npz,-1.1089069,-7.909865,9,tsne,mean
AllFields_Resultats_MESH_19.npz,-0.3481956,2.0859706,7,tsne,mean
AllFields_Resultats_MESH_28.npz,-2.6966505,1.588896,1,tsne,mean
AllFields_Resultats_MESH_139.npz,-4.480786,1.4534045,5,tsne,mean
AllFields_Resultats_MESH_213.npz,-1.2780479,-5.5255575,8,tsne,mean
AllFields_Resultats_MESH_167.npz,1.5228205,-2.1292725,10,tsne,mean
AllFields_Resultats_MESH_54-2.npz,-4.767396,0.8981919,5,tsne,mean
AllFields_Resultats_MESH_148.npz,-0.9860747,-0.005307704,4,tsne,mean
AllFields_Resultats_MESH_210.npz,-3.3376672,-3.7614253,12,tsne,mean
AllFields_Resultats_MESH_158.npz,2.2733414,-6.6550555,2,tsne,mean
AllFields_Resultats_MESH_174.npz,-2.2698615,4.070112,1,tsne,mean
AllFields_Resultats_MESH_196-1.npz,-1.0503699,2.2508235,1,tsne,mean
