filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_157.npz,-10.991752,-6.626678,11,tsne,mean
AllFields_Resultats_MESH_173.npz,-8.141449,-7.023768,3,tsne,mean
AllFields_Resultats_MESH_172.npz,5.699459,-3.0989263,14,tsne,mean
AllFields_Resultats_MESH_182-3.npz,-7.8694286,-3.876889,8,tsne,mean
AllFields_Resultats_MESH_42-1.npz,1.4785161,-2.7781982,1,tsne,mean
AllFields_Resultats_MESH_3.npz,4.526618,-3.6804338,14,tsne,mean
AllFields_Resultats_MESH_207.npz,-10.370644,-4.4589696,2,tsne,mean
AllFields_Resultats_MESH_194.npz,-1.8280312,-1.8736365,4,tsne,mean
AllFields_Resultats_MESH_200.npz,2.3140967,-1.2409045,5,tsne,mean
AllFields_Resultats_MESH_153.npz,1.253832,-3.748514,1,tsne,mean
AllFields_Resultats_MESH_182-2.npz,-5.4075985,-7.943956,10,tsne,mean
AllFields_Resultats_MESH_136.npz,-3.0206053,-1.7495176,13,tsne,mean
AllFields_Resultats_MESH_211.npz,-10.685786,-3.9520779,2,tsne,mean
AllFields_Resultats_MESH_44.npz,-6.9875827,-4.7266636,12,tsne,mean
AllFields_Resultats_MESH_175.npz,-11.454936,-4.332398,2,tsne,mean
AllFields_Resultats_MESH_54-1.npz,-3.5668771,-6.202067,6,tsne,mean
AllFields_Resultats_MESH_25.npz,-4.7932305,-7.648223,10,tsne,mean
AllFields_Resultats_MESH_203.npz,-4.8832293,-3.3490663,0,tsne,mean
AllFields_Resultats_MESH_210.npz,1.7066485,-4.5392385,1,tsne,mean
AllFields_Resultats_MESH_198-2.npz,-9.239575,-7.619592,3,tsne,mean
AllFields_Resultats_MESH_28.npz,-6.4051404,-7.6845,10,tsne,mean
AllFields_Resultats_MESH_168-1.npz,-8.741729,-3.6373997,8,tsne,mean
AllFields_Resultats_MESH_137.npz,-0.9681763,-1.2016398,4,tsne,mean
AllFields_Resultats_MESH_166.npz,-4.585121,-2.2394469,7,tsne,mean
AllFields_Resultats_MESH_152.npz,-5.1589284,-8.586361,10,tsne,mean
AllFields_Resultats_MESH_174.npz,-3.8926022,-3.453095,13,tsne,mean
AllFields_Resultats_MESH_129.npz,-6.913478,-8.316147,10,tsne,mean
AllFields_Resultats_MESH_186-1.npz,-1.2808536,-3.6879325,9,tsne,mean
AllFields_Resultats_MESH_155.npz,-0.1390167,-1.9372903,4,tsne,mean
AllFields_Resultats_MESH_212.npz,-0.6169171,-5.1648173,9,tsne,mean
AllFields_Resultats_MESH_164.npz,-6.675971,-3.2914162,8,tsne,mean
AllFields_Resultats_MESH_139.npz,-6.608241,-8.619481,10,tsne,mean
AllFields_Resultats_MESH_119-1.npz,-11.238679,-3.5279558,2,tsne,mean
AllFields_Resultats_MESH_170.npz,-5.796666,-3.0021245,7,tsne,mean
AllFields_Resultats_MESH_2.npz,-0.71567047,-5.0604534,9,tsne,mean
AllFields_Resultats_MESH_177.npz,0.16118385,-4.8481827,1,tsne,mean
AllFields_Resultats_MESH_214.npz,-3.42044,-4.4793034,0,tsne,mean
AllFields_Resultats_MESH_189.npz,-6.602433,-2.5161285,7,tsne,mean
AllFields_Resultats_MESH_34.npz,-0.026955545,-3.9332595,1,tsne,mean
AllFields_Resultats_MESH_192.npz,-4.4671283,-4.3415246,0,tsne,mean
AllFields_Resultats_MESH_215.npz,-9.701753,-3.2091238,2,tsne,mean
AllFields_Resultats_MESH_183.npz,-8.1654825,-6.791752,3,tsne,mean
AllFields_Resultats_MESH_148.npz,-7.023314,-6.117009,12,tsne,mean
AllFields_Resultats_MESH_165.npz,3.151261,-1.4204372,5,tsne,mean
AllFields_Resultats_MESH_198-1.npz,-1.7645048,-2.6922748,4,tsne,mean
AllFields_Resultats_MESH_6.npz,-3.6130657,-7.6823497,6,tsne,mean
AllFields_Resultats_MESH_40.npz,-0.15036999,-3.0632968,1,tsne,mean
AllFields_Resultats_MESH_163-1.npz,-5.3492756,-4.0977592,0,tsne,mean
AllFields_Resultats_MESH_180.npz,-10.629255,-5.089397,2,tsne,mean
AllFields_Resultats_MESH_119-2.npz,-10.57675,-5.6614356,11,tsne,mean
AllFields_Resultats_MESH_26.npz,-0.8730324,-5.8113685,9,tsne,mean
AllFields_Resultats_MESH_213.npz,-0.012403613,-3.8382866,1,tsne,mean
AllFields_Resultats_MESH_158.npz,-5.33655,-1.8349801,7,tsne,mean
AllFields_Resultats_MESH_196-2.npz,-5.1873026,-5.6824784,12,tsne,mean
AllFields_Resultats_MESH_209.npz,-2.154324,-4.717553,9,tsne,mean
AllFields_Resultats_MESH_217.npz,-1.9579111,-0.8948437,4,tsne,mean
AllFields_Resultats_MESH_191.npz,3.8505893,-2.1576464,5,tsne,mean
AllFields_Resultats_MESH_121.npz,-6.6003313,-5.646967,12,tsne,mean
AllFields_Resultats_MESH_206.npz,-5.9352775,-4.2841806,0,tsne,mean
AllFields_Resultats_MESH_204.npz,4.1117654,-2.8799756,14,tsne,mean
AllFields_Resultats_MESH_159.npz,-5.323557,-7.1285653,10,tsne,mean
AllFields_Resultats_MESH_117.npz,4.7844844,-3.2252798,14,tsne,mean
AllFields_Resultats_MESH_42-2.npz,3.3421886,-2.9448788,5,tsne,mean
AllFields_Resultats_MESH_9-1.npz,-1.2468073,-2.0553262,4,tsne,mean
AllFields_Resultats_MESH_219.npz,-7.0626445,-5.510846,12,tsne,mean
AllFields_Resultats_MESH_162.npz,-2.3402383,-3.3459156,13,tsne,mean
AllFields_Resultats_MESH_140.npz,2.260485,-1.435324,5,tsne,mean
AllFields_Resultats_MESH_178.npz,-7.467759,-3.0130074,8,tsne,mean
AllFields_Resultats_MESH_196-1.npz,-9.732356,-5.6016574,11,tsne,mean
AllFields_Resultats_MESH_42-3.npz,1.3967874,-2.7514212,1,tsne,mean
AllFields_Resultats_MESH_197.npz,-10.90604,-5.012252,2,tsne,mean
AllFields_Resultats_MESH_171.npz,-3.5617101,-3.5148108,13,tsne,mean
AllFields_Resultats_MESH_144-2.npz,-4.324449,-1.2780089,7,tsne,mean
AllFields_Resultats_MESH_134.npz,-8.319426,-4.046335,8,tsne,mean
AllFields_Resultats_MESH_181.npz,-5.392671,-3.5893295,0,tsne,mean
AllFields_Resultats_MESH_199.npz,-1.3749994,-1.7071526,4,tsne,mean
AllFields_Resultats_MESH_161.npz,-4.4820166,-5.2529135,0,tsne,mean
AllFields_Resultats_MESH_185.npz,-11.423733,-3.6927242,2,tsne,mean
AllFields_Resultats_MESH_186-2.npz,-10.957186,-4.936495,2,tsne,mean
AllFields_Resultats_MESH_128.npz,5.1397605,-3.1922824,14,tsne,mean
AllFields_Resultats_MESH_187.npz,0.91477776,-6.697305,1,tsne,mean
AllFields_Resultats_MESH_138.npz,0.70549417,-3.6221,1,tsne,mean
AllFields_Resultats_MESH_54-2.npz,1.0156894,-4.894294,1,tsne,mean
AllFields_Resultats_MESH_193-2.npz,-2.0053709,-4.298269,9,tsne,mean
AllFields_Resultats_MESH_182-1.npz,-9.85306,-4.4534464,2,tsne,mean
AllFields_Resultats_MESH_195.npz,-10.13459,-4.692371,2,tsne,mean
AllFields_Resultats_MESH_1.npz,-3.533244,-6.8128715,6,tsne,mean
