filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_54-1.npz,-1.2840239,-3.4181507,14,tsne,std
AllFields_Resultats_MESH_193-2.npz,-0.7291629,-3.1074264,14,tsne,std
AllFields_Resultats_MESH_163-2.npz,2.9147494,-3.340722,7,tsne,std
AllFields_Resultats_MESH_162.npz,0.2516265,-3.2235057,14,tsne,std
AllFields_Resultats_MESH_170.npz,-0.57407755,4.856967,2,tsne,std
AllFields_Resultats_MESH_207.npz,0.70056087,-6.4403634,3,tsne,std
AllFields_Resultats_MESH_214.npz,1.434902,-3.0013866,7,tsne,std
AllFields_Resultats_MESH_34.npz,-0.8570114,-1.2060412,0,tsne,std
AllFields_Resultats_MESH_186-2.npz,-4.934738,-7.6696944,1,tsne,std
AllFields_Resultats_MESH_182-2.npz,3.4271004,-2.4429448,4,tsne,std
AllFields_Resultats_MESH_135.npz,-2.3858395,-3.8772025,14,tsne,std
AllFields_Resultats_MESH_163-1.npz,-4.511637,-5.8950863,8,tsne,std
AllFields_Resultats_MESH_198-1.npz,-2.8166075,-5.025711,8,tsne,std
AllFields_Resultats_MESH_205.npz,-3.849699,-5.9134874,8,tsne,std
AllFields_Resultats_MESH_199.npz,-4.7567506,-4.540263,11,tsne,std
AllFields_Resultats_MESH_206.npz,-6.7097387,-6.1556516,1,tsne,std
AllFields_Resultats_MESH_219.npz,0.44283542,-7.6353374,3,tsne,std
AllFields_Resultats_MESH_25.npz,1.5016623,4.579195,2,tsne,std
AllFields_Resultats_MESH_164.npz,-5.179658,-5.3343377,11,tsne,std
AllFields_Resultats_MESH_9-1.npz,-3.0574255,-2.515678,5,tsne,std
AllFields_Resultats_MESH_212.npz,0.26026362,-0.69151986,0,tsne,std
AllFields_Resultats_MESH_168-1.npz,-5.5537305,-7.722317,1,tsne,std
AllFields_Resultats_MESH_192.npz,-4.2213397,-5.859966,8,tsne,std
AllFields_Resultats_MESH_26.npz,3.548839,-1.0161657,4,tsne,std
AllFields_Resultats_MESH_197.npz,-4.3854566,-8.8473425,1,tsne,std
AllFields_Resultats_MESH_193-1.npz,-5.230606,-3.0985441,11,tsne,std
AllFields_Resultats_MESH_6.npz,-1.5259688,-2.8879464,5,tsne,std
AllFields_Resultats_MESH_191.npz,-1.5461961,2.455687,9,tsne,std
AllFields_Resultats_MESH_19.npz,1.6816846,-5.3055873,10,tsne,std
AllFields_Resultats_MESH_28.npz,-1.3844538,-4.787876,14,tsne,std
AllFields_Resultats_MESH_139.npz,-1.4267323,5.415622,2,tsne,std
AllFields_Resultats_MESH_213.npz,1.6615555,1.4494501,6,tsne,std
AllFields_Resultats_MESH_167.npz,0.48741367,4.7306614,2,tsne,std
AllFields_Resultats_MESH_54-2.npz,-3.3096538,-2.1640456,5,tsne,std
AllFields_Resultats_MESH_148.npz,1.8951896,-4.0053625,10,tsne,std
AllFields_Resultats_MESH_210.npz,-4.307543,-3.321718,11,tsne,std
AllFields_Resultats_MESH_158.npz,-0.120327234,5.3238635,2,tsne,std
AllFields_Resultats_MESH_174.npz,2.5239515,3.9234996,6,tsne,std
AllFields_Resultats_MESH_196-1.npz,4.3291726,-1.8855928,4,tsne,std
AllFields_Resultats_MESH_144-2.npz,-0.70375,-0.8643864,0,tsne,std
AllFields_Resultats_MESH_119-1.npz,-5.5078077,-8.343766,1,tsne,std
AllFields_Resultats_MESH_203.npz,-1.0309826,-4.336653,14,tsne,std
AllFields_Resultats_MESH_209.npz,-1.6667819,0.4632574,9,tsne,std
AllFields_Resultats_MESH_2.npz,2.6116004,-1.0105792,4,tsne,std
AllFields_Resultats_MESH_198-2.npz,1.163515,6.0084143,2,tsne,std
AllFields_Resultats_MESH_23.npz,-1.7920868,-7.0851603,3,tsne,std
AllFields_Resultats_MESH_137.npz,-1.0174364,3.800694,2,tsne,std
AllFields_Resultats_MESH_11.npz,-2.1042619,2.470819,9,tsne,std
AllFields_Resultats_MESH_40.npz,1.4202151,-0.3169622,12,tsne,std
AllFields_Resultats_MESH_189.npz,-6.7581677,-4.1000614,11,tsne,std
AllFields_Resultats_MESH_177.npz,1.3426954,0.5094578,12,tsne,std
AllFields_Resultats_MESH_166.npz,1.3435944,-2.3171916,7,tsne,std
AllFields_Resultats_MESH_157.npz,-1.187761,-8.040992,3,tsne,std
AllFields_Resultats_MESH_151.npz,-0.28672636,0.9453148,9,tsne,std
AllFields_Resultats_MESH_188.npz,1.0707116,-4.774729,10,tsne,std
AllFields_Resultats_MESH_200.npz,1.4527241,-0.79672253,12,tsne,std
AllFields_Resultats_MESH_165.npz,-1.2112117,1.837409,9,tsne,std
AllFields_Resultats_MESH_175.npz,-3.9429357,-8.0232,1,tsne,std
AllFields_Resultats_MESH_152.npz,-1.7820976,-2.3435938,5,tsne,std
AllFields_Resultats_MESH_202.npz,-4.635036,-7.146059,1,tsne,std
AllFields_Resultats_MESH_185.npz,0.35296386,-8.384509,3,tsne,std
AllFields_Resultats_MESH_208.npz,2.3517978,-0.89588284,12,tsne,std
AllFields_Resultats_MESH_55.npz,0.6002085,-0.1810892,12,tsne,std
AllFields_Resultats_MESH_3.npz,-2.5431511,2.4234662,9,tsne,std
AllFields_Resultats_MESH_155.npz,-0.022825375,4.066612,2,tsne,std
AllFields_Resultats_MESH_161.npz,2.473972,-2.9011729,7,tsne,std
AllFields_Resultats_MESH_217.npz,-0.8083709,3.997792,2,tsne,std
